Fecha,Tienda,Categoria,Vendedor,Producto,Cantidad, Precio , Ingresos 
01/02/2026,Tienda B,Juguetes,Lucía,Puzzle 1000 piezas,6, $625.01 ," $3,750.06 "
01/02/2026,Tienda E,Hogar,María,Cafetera Delonghi,1, $84.42 , $84.42 
01/03/2026,Tienda C,Ropa,María,Pantalón Levi's,5, $560.97 ," $2,804.85 "
01/04/2026,Tienda D,Electrónica,Ana,Smartphone Samsung,10," $1,197.81 "," $11,978.10 "
01/05/2026,Tienda E,Hogar,María,Ventilador Imaco,2, $349.98 , $699.96 
01/06/2026,Tienda D,Ropa,José,Polo Adidas,7, $353.77 ," $2,476.39 "
01/07/2026,Tienda E,Ropa,José,Casaca Puma,3, $821.79 ," $2,465.37 "
01/08/2026,Tienda A,Electrónica,José,Smartwatch Apple,9, $575.49 ," $5,179.41 "
01/09/2026,Tienda E,Deportes,Ana,Guantes Everlast,3," $1,180.15 "," $3,540.45 "
01/10/2026,Tienda B,Juguetes,Luis,Lego Star Wars,8, $948.14 ," $7,585.12 "
01/11/2026,Tienda E,Hogar,Lucía,Cafetera Delonghi,7," $1,439.39 "," $10,075.73 "
01/12/2026,Tienda E,Juguetes,Luis,Drone para niños,6, $242.24 ," $1,453.44 "
1/13/2026,Tienda E,Belleza,Luis,Crema Nivea,2," $1,046.62 "," $2,093.24 "
1/14/2026,Tienda B,Deportes,Luis,Balón Adidas,7, $35.19 , $246.33 
1/15/2026,Tienda B,Hogar,Lucía,Plancha Philips,1, $828.19 , $828.19 
1/16/2026,Tienda D,Belleza,Luis,Perfume Dior,8, $562.22 ," $4,497.76 "
1/17/2026,Tienda C,Electrónica,María,Auriculares Sony,6, $971.14 ," $5,826.84 "
1/18/2026,Tienda A,Hogar,Luis,Plancha Philips,7, $921.18 ," $6,448.26 "
1/19/2026,Tienda D,Deportes,María,Guantes Everlast,3, $468.57 ," $1,405.71 "
1/20/2026,Tienda D,Hogar,Luis,Licuadora Oster,10," $1,132.23 "," $11,322.30 "
1/21/2026,Tienda C,Juguetes,Rosa,Drone para niños,10, $124.49 ," $1,244.90 "
1/22/2026,Tienda D,Ropa,Lucía,Polo Adidas,3, $791.73 ," $2,375.19 "
1/23/2026,Tienda E,Juguetes,Lucía,Auto Hot Wheels,7," $1,334.38 "," $9,340.66 "
1/24/2026,Tienda C,Ropa,Ana,Pantalón Levi's,2, $738.55 ," $1,477.10 "
1/25/2026,Tienda E,Belleza,Pedro,Secadora Philips,3, $51.06 , $153.18 
1/26/2026,Tienda D,Deportes,Ana,Cuerda para saltar,9," $1,055.75 "," $9,501.75 "
1/27/2026,Tienda D,Ropa,Pedro,Casaca Puma,10, $137.61 ," $1,376.10 "
1/28/2026,Tienda C,Ropa,Rosa,Casaca Puma,4, $610.54 ," $2,442.16 "
1/29/2026,Tienda A,Belleza,Carlos,Maquillaje Maybelline,7, $624.38 ," $4,370.66 "
1/30/2026,Tienda C,Ropa,Ana,Camisa Lacoste,5, $529.52 ," $2,647.60 "
1/31/2026,Tienda E,Hogar,Carlos,Ventilador Imaco,9," $1,452.03 "," $13,068.27 "
02/01/2026,Tienda D,Juguetes,José,Auto Hot Wheels,3, $691.78 ," $2,075.34 "
02/02/2026,Tienda D,Juguetes,José,Drone para niños,4," $1,044.31 "," $4,177.24 "
02/03/2026,Tienda E,Deportes,José,Cuerda para saltar,10, $916.87 ," $9,168.70 "
02/04/2026,Tienda A,Juguetes,Pedro,Auto Hot Wheels,7, $281.01 ," $1,967.07 "
02/05/2026,Tienda E,Ropa,Pedro,Zapatillas Nike,9," $1,322.93 "," $11,906.37 "
02/06/2026,Tienda E,Belleza,José,Crema Nivea,4," $1,441.24 "," $5,764.96 "
02/07/2026,Tienda B,Belleza,Pedro,Perfume Dior,4, $74.85 , $299.40 
02/08/2026,Tienda D,Deportes,Pedro,Bicicleta Trek,10," $1,242.53 "," $12,425.30 "
02/09/2026,Tienda B,Ropa,José,Pantalón Levi's,2, $63.27 , $126.54 
02/10/2026,Tienda B,Electrónica,Ana,Smartwatch Apple,6," $1,115.85 "," $6,695.10 "
02/11/2026,Tienda D,Belleza,Lucía,Perfume Dior,1, $160.01 , $160.01 
02/12/2026,Tienda E,Ropa,Rosa,Polo Adidas,8," $1,094.06 "," $8,752.48 "
2/13/2026,Tienda C,Juguetes,Carlos,Puzzle 1000 piezas,3," $1,159.15 "," $3,477.45 "
2/14/2026,Tienda C,Hogar,Ana,Microondas LG,10," $1,172.85 "," $11,728.50 "
2/15/2026,Tienda A,Belleza,Rosa,Crema Nivea,6," $1,265.68 "," $7,594.08 "
2/16/2026,Tienda B,Ropa,María,Pantalón Levi's,2," $1,012.88 "," $2,025.76 "
2/17/2026,Tienda C,Ropa,Carlos,Pantalón Levi's,7, $397.61 ," $2,783.27 "
2/18/2026,Tienda B,Ropa,Carlos,Pantalón Levi's,2, $200.42 , $400.84 
2/19/2026,Tienda C,Juguetes,María,Puzzle 1000 piezas,4," $1,152.99 "," $4,611.96 "
2/20/2026,Tienda D,Electrónica,José,Tablet Lenovo,2, $308.88 , $617.76 
2/21/2026,Tienda E,Hogar,Carlos,Microondas LG,7," $1,391.47 "," $9,740.29 "
2/22/2026,Tienda E,Belleza,Ana,Crema Nivea,3," $1,372.26 "," $4,116.78 "
2/23/2026,Tienda A,Ropa,Rosa,Casaca Puma,5, $967.49 ," $4,837.45 "
2/24/2026,Tienda D,Belleza,Rosa,Maquillaje Maybelline,2, $384.90 , $769.80 
2/25/2026,Tienda D,Electrónica,Rosa,Smartphone Samsung,8, $280.04 ," $2,240.32 "
2/26/2026,Tienda E,Deportes,Rosa,Guantes Everlast,1," $1,426.09 "," $1,426.09 "
2/27/2026,Tienda E,Electrónica,Rosa,Smartphone Samsung,5, $68.88 , $344.40 
2/28/2026,Tienda D,Hogar,Lucía,Cafetera Delonghi,5, $441.13 ," $2,205.65 "
03/01/2026,Tienda E,Electrónica,Rosa,Laptop HP,6," $1,077.09 "," $6,462.54 "
03/02/2026,Tienda E,Electrónica,Lucía,Laptop HP,4," $1,066.71 "," $4,266.84 "
03/03/2026,Tienda D,Deportes,Pedro,Raqueta Wilson,8, $817.81 ," $6,542.48 "
03/04/2026,Tienda D,Juguetes,Ana,Drone para niños,3," $1,251.23 "," $3,753.69 "
03/05/2026,Tienda E,Deportes,Pedro,Bicicleta Trek,4," $1,106.17 "," $4,424.68 "
03/06/2026,Tienda B,Belleza,Luis,Perfume Dior,4, $312.31 ," $1,249.24 "
03/07/2026,Tienda B,Belleza,Pedro,Perfume Dior,8, $553.84 ," $4,430.72 "
03/08/2026,Tienda B,Hogar,María,Ventilador Imaco,4, $385.36 ," $1,541.44 "
03/09/2026,Tienda C,Deportes,José,Balón Adidas,10, $854.28 ," $8,542.80 "
03/10/2026,Tienda B,Hogar,Ana,Microondas LG,9, $189.32 ," $1,703.88 "
03/11/2026,Tienda D,Belleza,María,Perfume Dior,2, $485.97 , $971.94 
03/12/2026,Tienda A,Belleza,Pedro,Crema Nivea,4, $948.87 ," $3,795.48 "
3/13/2026,Tienda C,Juguetes,José,Drone para niños,9," $1,223.91 "," $11,015.19 "
3/14/2026,Tienda A,Ropa,Pedro,Zapatillas Nike,4, $258.84 ," $1,035.36 "
3/15/2026,Tienda E,Belleza,Luis,Plancha de cabello Remington,8, $429.77 ," $3,438.16 "
3/16/2026,Tienda A,Ropa,Rosa,Casaca Puma,2," $1,210.24 "," $2,420.48 "
3/17/2026,Tienda B,Ropa,Carlos,Casaca Puma,2, $239.95 , $479.90 
3/18/2026,Tienda B,Electrónica,Lucía,Laptop HP,2, $186.58 , $373.16 
3/19/2026,Tienda C,Deportes,José,Guantes Everlast,8, $298.54 ," $2,388.32 "
3/20/2026,Tienda E,Electrónica,José,Tablet Lenovo,10, $784.21 ," $7,842.10 "
3/21/2026,Tienda C,Ropa,María,Casaca Puma,10," $1,097.97 "," $10,979.70 "
3/22/2026,Tienda D,Belleza,María,Secadora Philips,1," $1,293.24 "," $1,293.24 "
3/23/2026,Tienda B,Electrónica,Lucía,Smartwatch Apple,2," $1,326.18 "," $2,652.36 "
3/24/2026,Tienda E,Electrónica,Pedro,Auriculares Sony,7," $1,470.51 "," $10,293.57 "
3/25/2026,Tienda D,Ropa,Carlos,Polo Adidas,7, $847.93 ," $5,935.51 "
3/26/2026,Tienda B,Juguetes,Lucía,Lego Star Wars,6," $1,002.34 "," $6,014.04 "
3/27/2026,Tienda D,Ropa,José,Camisa Lacoste,9, $92.72 , $834.48 
